,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Approach-1_output,Approach-2_output
0,1078,56,great summer fabric!,"i really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",3,0,1,General Petite,Dresses,Dresses,"['fabric wanted', 'breast worked', 'minute sat', 'great summer fabric', 'strange fit straps', 'straps stay weird', 'weird fit breast']","['fabric wanted', 'breast worked', 'minute sat', 'great summer fabric', 'strange fit straps', 'straps stay weird', 'weird fit breast']"
1,1078,51,sweet flattering dress,"i love cute summer dresses and this one, especially because it is made out of linen, is unique. it is very well-made with a design that is quite flattering. i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10. it fits well although it is difficult to zip up because the material has no give. the perfect dress to wear to italy or france! now i just have to book my tickets!",4,1,0,General Petite,Dresses,Dresses,"['design flattering', 'bust got', 'dress wear', 'sweet flattering dress', 'flattering dress love', 'love cute summer', 'cute summer dresses', 'difficult zip material', 'material perfect dress']","['design flattering', 'bust got', 'dress wear', 'sweet flattering dress', 'flattering dress love', 'love cute summer', 'cute summer dresses', 'difficult zip material', 'material perfect dress']"
2,1078,32,,"this is the perfect summer dress. it can be dressed up or down. the quality of the linen fabric is very nice. i'm 5'1"" and it hit right below my knees. i found it to run true to size. those with a smaller bust might want to go down a size, but the tie in the front can be adjusted. it's lovely.",5,1,2,General Petite,Dresses,Dresses,"['dress dressed', 'right knees', 'knees found', 'true size', 'bust want', 'perfect summer dress', ""fabric nice 5'1"", 'size smaller bust', 'tie adjusted lovely', 'knees found run true']","['dress dressed', 'right knees', 'knees found', 'true size', 'bust want', 'perfect summer dress', ""fabric nice 5'1"", 'size smaller bust', 'tie adjusted lovely', 'knees found run true']"
3,1078,61,great sweater dress!,"nice fit and flare style, not clingy at all. i got the grey color, petite large, fits perfect. will wear with tights/boots or booties. lots of color options to accessorize with.",5,1,1,General,Dresses,Dresses,"['clingy got', 'booties lots', 'options accessorize', 'great sweater dress', 'nice fit flare', 'fit flare style', 'petite large fits', 'fits perfect wear', 'perfect wear tights']","['clingy got', 'booties lots', 'options accessorize', 'great sweater dress', 'nice fit flare', 'fit flare style', 'petite large fits', 'fits perfect wear', 'perfect wear tights']"
4,1078,33,"cute, but cheap","when i first opened this dress and tried it on i thought it was adorable. it is very flattering on my hourglass figure and hides my recent baby weight. the problem is the hem. it was already rolling up when i took it out of the package, and i should have noticed and returned it, but i figured the problem would be easily solved by a good ironing. well, it wasn't, and it gets worse every time i wash the dress. it's like the hem isn't constructed properly.",3,0,0,General,Dresses,Dresses,"['dress tried', 'rolling took', 'package noticed', 'figured problem', 'good ironing', 'hem constructed', 'adorable flattering hourglass', 'flattering hourglass figure', 'recent baby weight', 'worse time wash', 'dress tried thought adorable', 'figure hides recent baby', 'package noticed returned figured']","['dress tried', 'rolling took', 'package noticed', 'figured problem', 'good ironing', 'hem constructed', 'adorable flattering hourglass', 'flattering hourglass figure', 'recent baby weight', 'worse time wash', 'dress tried thought adorable', 'figure hides recent baby', 'package noticed returned figured']"
5,1078,20,super cute and flattering too,"i love this sweater dress and get compliments every time i wear it.. i bought the navy in size xs. the pattern and colors are just fun and youthful, although you don't have to be young to look good in this dress. the dress is fitted, but the skirt flares, making it flattering if you have hips like me. the material is not too heavy so you can wear this 3 seasons fall, winter, spring. as other reviews have mentioned the dress is short. i am 5'9"" so it does hit well above my knees. this isn't an is",5,1,1,General,Dresses,Dresses,"['wear bought', 'dress fitted', 'flattering hips', 'reviews mentioned', 'cute flattering love', 'flattering love sweater', 'pattern colors fun', 'good dress dress', ""dress short 5'9"", 'flares making flattering hips']","['wear bought', 'dress fitted', 'flattering hips', 'reviews mentioned', 'cute flattering love', 'flattering love sweater', 'pattern colors fun', 'good dress dress', ""dress short 5'9"", 'flares making flattering hips']"
6,1078,52,fun dress,extremely flattering. an easy dress to wear - good choice for both day and evening,5,1,1,General,Dresses,Dresses,"['fun dress', 'flattering easy dress', 'easy dress wear', 'good choice day']","['fun dress', 'flattering easy dress', 'easy dress wear', 'good choice day']"
7,1078,46,fun mix of colors in the grey version,"i ordered this dress in size xl in the grey/red/yellow combination. i love everything about this dress. it's comfortable. the colors are cheerful. the proportions of where the stripes are placed works. but, i have to return this dress. it's too short for what i'm comfortable wearing. i saw from the photos that this comes mid-thigh on the taller models. i hoped that would mean it would be more knee-length for me. unfortunately, it's just too short and i'd feel self-conscious. i don't want to deal",5,1,1,General,Dresses,Dresses,"['colors grey', 'yellow combination', 'combination love', 'stripes placed', 'works return', 'wearing saw', 'models hoped', 'dress comfortable colors', 'colors cheerful proportions', 'cheerful proportions stripes', 'short comfortable wearing', 'photos comes mid', 'thigh taller models']","['colors grey', 'yellow combination', 'combination love', 'stripes placed', 'works return', 'wearing saw', 'models hoped', 'dress comfortable colors', 'colors cheerful proportions', 'cheerful proportions stripes', 'short comfortable wearing', 'photos comes mid', 'thigh taller models']"
8,1078,31,for the shorter girls,"i really wanted to love this dress, but it was so short! i'm only 5'6"" so i don't consider myself really tall, but the dress only came a couple of inches lower than my butt! way too short for me. my husband asked if it was a shirt or dress haha. but i think this would look adorable on someone a few inches shorter. or someone younger who can pull of a short shirt :)",4,1,4,General,Dresses,Dresses,"['shorter girls', 'girls wanted', 'tall dress', 'dress came', 'husband asked', 'adorable inches', 'short shirt', 'inches lower butt', 'lower butt way', 'way short husband']","['shorter girls', 'girls wanted', 'tall dress', 'dress came', 'husband asked', 'adorable inches', 'short shirt', 'inches lower butt', 'lower butt way', 'way short husband']"
9,1078,49,,"very cute, very comfortable. for me aesthetics and comfort must go hand in hand. this dress fits the bill.",5,1,2,General,Dresses,Dresses,"['dress fits', 'comfortable aesthetics comfort']","['dress fits', 'comfortable aesthetics comfort']"
10,1078,36,"cute concept, fits weird",the fun colors drew me to this but it sure fit weird. the top was fine but it became a bit tent-like in the waist. the material doesn't feel great either.,2,0,1,General,Dresses,Dresses,"['cute concept', 'colors drew', 'weird fun colors', 'weird fine bit', 'fine bit tent', 'like waist material', 'material feel great', 'concept fits weird fun']","['cute concept', 'colors drew', 'weird fun colors', 'weird fine bit', 'fine bit tent', 'like waist material', 'material feel great', 'concept fits weird fun']"
11,1078,39,love this dress,very comfortable and versatile. got lots of compliments.,5,1,0,General,Dresses,Dresses,"['versatile got', 'dress comfortable versatile']","['versatile got', 'dress comfortable versatile']"
